pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_mass,sy_dist
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,Microlensing,2018,55.3,,,,,0.4,6400.0
Kepler-939 b,Kepler-939,Transit,2016,,1.75,14.878296,,5471.0,0.88,2093.62
KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,Microlensing,2025,16.35,,,,,0.72,5490.0
Kepler-1292 b,Kepler-1292,Transit,2016,,1.82,3.27646405,,5556.0,0.95,1493.43
GJ 3512 c,GJ 3512,Radial Velocity,2020,143.97626837,,2354.0,,3141.0,0.123,9.48637
HD 8574 b,HD 8574,Radial Velocity,2002,645.1949,,227.0,,6064.0,1.34,44.8264
Kepler-223 d,Kepler-223,Transit,2014,8.0,5.24,14.78869,,,1.125,1859.71
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,Microlensing,2013,588.0,,,,,0.022,1760.0
Kepler-15 b,Kepler-15,Transit,2011,209.76,10.76,4.942782,,5515.0,1.018,739.412
CoRoT-12 b,CoRoT-12,Transit,2010,291.438,16.14,2.828042,1442.0,5675.0,1.078,1126.37
TOI-3464 b,TOI-3464,Transit,2025,397.28550875,13.7646283,3.6515568,1693.0,6370.0,1.363,597.774
TOI-209 b,TOI-209,Transit,2026,,2.3947209,4.37943587445,,4806.66,,113.387
Kepler-1719 b,Kepler-1719,Transit,2021,,3.95000623,6.149559975,,5687.0,1.08,905.406
HD 33844 c,HD 33844,Radial Velocity,2015,556.2025,,916.0,,4861.0,1.78,105.779
Kepler-1366 b,Kepler-1366,Transit,2016,,1.43,2.164570968,,4070.0,0.62,465.826
HAT-P-2 c,HAT-P-2,Radial Velocity,2023,3400.7639549,,8500.0,,,1.33,127.774
HIP 948 b,HIP 948,Radial Velocity,2022,6547.2651842,,24955.45756,,,0.71,34.8523
Kepler-1036 b,Kepler-1036,Transit,2016,,3.01,122.8808058,,5533.0,0.95,489.435
Kepler-250 b,Kepler-250,Transit,2014,,1.13,4.148141,,5160.0,,760.585
HATS-47 b,HATS-47,Transit,2020,117.27927,12.520453,3.9228038,852.9,4512.0,0.674,300.67
Kepler-1233 b,Kepler-1233,Transit,2016,,2.6,45.1263042,,6198.0,1.16,1178.7
GJ 682 c,GJ 682,Radial Velocity,2014,8.7,,57.32,,3028.0,0.27,5.00671
Kepler-1221 b,Kepler-1221,Transit,2016,,1.88,12.00096042,,5194.0,0.87,913.65
Kepler-539 b,Kepler-539,Transit,2016,308.2951,8.373123,125.63243,387.6,5820.0,1.048,307.318
Kepler-1729 b,Kepler-1729,Transit,2021,,3.89404186,4.220970154,,3837.0,0.544,576.181
Kepler-257 b,Kepler-257,Transit,2014,,2.61,2.382667,,5180.0,,780.256
Kepler-1239 b,Kepler-1239,Transit,2016,,2.9,5.19104016,,6564.0,1.4,2140.6
K2-127 b,K2-127,Transit,2017,,8.37,3.588163,809.0,4575.0,0.72,709.999
Kepler-196 c,Kepler-196,Transit,2014,,2.24,47.427737,,5128.0,,451.312
Kepler-834 b,Kepler-834,Transit,2016,,2.02,13.32388301,,4554.0,0.7,633.937
K2-105 b,K2-105,Transit,2017,15.4,3.4,8.26726,805.0,5373.0,0.94,197.989
Kepler-85 c,Kepler-85,Transit,2012,2.15,1.978,12.51,,5505.2,0.928,765.025
Kepler-236 b,Kepler-236,Transit,2014,,1.57,8.295611,,3750.0,,288.763
Kepler-100 d,Kepler-100,Transit,2014,3.0,1.61,35.3331,,5825.0,1.08,304.645
16 Cyg B b,16 Cyg B,Radial Velocity,1996,565.7374,,798.5,,5750.0,1.08,21.1397
Kepler-976 b,Kepler-976,Transit,2016,,3.96,105.9564148,,5232.0,0.87,1012.41
Kepler-1268 b,Kepler-1268,Transit,2016,,2.03,40.9903986,,5904.0,1.06,1840.77
Kepler-473 b,Kepler-473,Transit,2016,,4.08,14.55731705,,5816.0,1.06,905.937
Kepler-273 c,Kepler-273,Transit,2014,,1.98,8.014927,,5626.0,,713.964
CoRoT-32 b,CoRoT-32,Transit,2018,47.6745,6.38913,6.71837,938.0,5970.0,1.08,576.683
HD 4203 b,HD 4203,Radial Velocity,2001,708.7609,,431.88,,5596.0,1.25,81.3795
Kepler-29 b,Kepler-29,Transit,2011,5.0,2.55,10.33974,,5378.0,0.761,832.532
TOI-1266 d,TOI-1266,Transit Timing Variations,2025,3.68,,32.509,288.0,3563.0,0.437,36.0118
Kepler-529 d,Kepler-529,Transit,2021,,2.79502603,35.86619949,,6078.0,1.005,799.008
Kepler-918 b,Kepler-918,Transit,2016,,1.74,4.85386933,,6028.0,1.11,1025.03
Kepler-1619 b,Kepler-1619,Transit,2016,,0.76,23.6225913,,5852.0,1.0,734.85
TOI-6954 b,TOI-6954,Transit,2026,,3.63524486,4.02074127419,,5170.87,,190.042
Kepler-42 b,Kepler-42,Transit,2011,,0.78,1.2137672,519.0,3068.0,0.13,40.0595
Kepler-284 b,Kepler-284,Transit,2014,,2.24,12.699149,,5615.0,,1031.95
HD 32963 b,HD 32963,Radial Velocity,2015,222.481,,2372.0,,5727.0,0.94,38.0786
Kepler-42 d,Kepler-42,Transit,2011,,0.57,1.865169,450.0,3068.0,0.13,40.0595
HD 109749 b,HD 109749,Radial Velocity,2005,85.8141,,5.239891,,5824.0,1.13,63.0821
Kepler-1166 b,Kepler-1166,Transit,2016,,1.69,33.2406882,,5446.0,0.9,634.906
Kepler-157 c,Kepler-157,Transit,2014,,2.24,13.5405,,5774.0,,773.713
HD 219134 g,HD 219134,Radial Velocity,2015,10.80622,,94.2,,4913.0,0.794,6.53127
Kepler-210 b,Kepler-210,Transit,2014,,2.94,2.453234,,4559.0,,232.75
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,Microlensing,2022,82.63538582,,,,,0.093,4050.0
TIC 139270665 b,TIC 139270665,Transit,2024,147.15455244,7.22979255,23.624,703.0,5844.0,1.035,189.875
K2-333 b,K2-333,Transit,2021,,6.18,14.759287,826.0,5880.0,1.06,343.99
GJ 3293 d,GJ 3293,Radial Velocity,2017,7.6,,48.1345,,3466.0,0.42,20.1903
Kepler-773 b,Kepler-773,Transit,2016,,1.43,3.749100061,,5850.0,1.04,547.026
Kepler-218 d,Kepler-218,Transit,2016,,2.66,124.5244647,,5542.0,1.01,656.38
Kepler-323 c,Kepler-323,Transit,2014,6.8,1.57,3.5538229,1431.0,6004.0,1.015,454.883
HD 77946 b,HD 77946,Transit,2024,10.9,2.89646124,6.527363,1128.86,6007.0,1.1973,99.451
WASP-2 b,WASP-2,Transit,2007,295.89973,12.116929,2.152175,1311.0,5180.0,0.895,153.242
Kepler-1235 b,Kepler-1235,Transit,2016,,0.79,4.16055856,,5541.0,0.93,540.604
TOI-5614 b,TOI-5614,Transit,2026,,3.21759316,4.17221328949,,4553.0,,223.016
K2-318 b,K2-318,Transit,2020,,1.66,7.01,456.0,3851.0,0.561,147.866
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,Microlensing,2020,53.1,,,,,0.4,6320.0
Kepler-1512 b,Kepler-1512,Transit,2016,,1.18,20.35972599,,4372.0,0.73,
TOI-5800 b,TOI-5800,Transit,2025,9.5,2.46,2.6278838,1108.0,4850.0,0.778,42.9052
HD 214823 b,HD 214823,Radial Velocity,2016,5914.78665427,,1854.84424,,,1.115,101.368
Kepler-953 b,Kepler-953,Transit,2016,,4.21,88.40655258,,5416.0,0.95,258.893
K2-381 c,K2-381,Transit,2022,,2.0,16.034656,,4473.0,0.754,145.701
K2-320 b,K2-320,Transit,2020,,2.62,1.995,698.0,3157.0,0.117,108.74
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,Microlensing,2020,210.0,,,,,1.11,2510.0
GJ 2126 b,GJ 2126,Radial Velocity,2025,413.1769291,,272.7,,4159.0,0.65,38.129
Kepler-728 b,Kepler-728,Transit,2016,,3.34,5.743477265,,5660.0,0.95,1765.23
Kepler-1714 b,Kepler-1714,Transit,2021,,3.26437302,10.27530003,,6150.0,1.448,409.46
HS Psc b,HS Psc,Radial Velocity,2024,464.02947422,,3.986,,4203.0,0.69,37.6604
TOI-1443 b,TOI-1443,Transit,2024,30.0,2.30381001,23.540678,520.66,5224.0,0.7663,85.8034
GJ 581 e,GJ 581,Radial Velocity,2009,2.48,,3.1481,,3500.0,0.295,6.2981
Kepler-928 b,Kepler-928,Transit,2016,,1.59,3.932461302,,4700.0,0.73,508.809
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,Microlensing,2019,640.0,,,,,0.37,6000.0
Kepler-192 d,Kepler-192,Transit,2016,,1.02,6.47027579,,5487.0,0.94,651.674
TOI-4329 b,TOI-4329,Transit,2022,143.02278315,16.81347105,2.9223,,6000.0,1.538,717.128
HD 160691 e,HD 160691,Radial Velocity,2006,2224.798849,,307.9,,5773.0,1.13,15.5981
K2-372 b,K2-372,Transit,2022,,2.945,9.844077,,5479.0,0.847,463.88
Kepler-1165 c,Kepler-1165,Transit,2021,,3.36093385,29.96870041,,6249.0,1.13,1575.2
Kepler-371 c,Kepler-371,Transit,2014,,1.78,67.968015,,5666.0,,813.192
Kepler-1002 b,Kepler-1002,Transit,2016,,1.71,4.336429331,,6144.0,1.22,408.303
K2-350 b,K2-350,Transit,2021,,1.54,4.163873,1158.0,5789.0,0.98,489.368
HIP 14810 d,HIP 14810,Radial Velocity,2009,187.5197,,981.8,,5544.0,1.01,50.48
WASP-43 b,WASP-43,Transit,2011,565.714,10.424,0.813475,,4400.0,0.58,86.7467
HD 28185 c,HD 28185,Radial Velocity,2022,1906.970442,,9090.0,,5602.0,0.974,39.3809
Kepler-540 b,Kepler-540,Transit,2016,,2.71,172.7049784,,5946.0,1.02,390.374
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,104.0,,237.6,,4746.0,0.74,41.3342
HD 134987 c,HD 134987,Radial Velocity,2009,260.0,,5000.0,,5585.0,1.1,26.1804
